% Sample #	P (GPa)	T C	Time (min) Assemblage	V (A^3)	Err	Al2O3	err	H2O Paterson	err	H2O Pawley	err			Reference
K-328	A	20	1800	120	St,L		46.53	3	0.1	0.02	0.0146	0.0015	0.009	0.0008	P	25	Litasov et al., 2007
K-329	A	20	1800	120	St,L		46.55	2	0.25	0.07	0.0175	0.0033	0.0108	0.002	S	60	Litasov et al., 2007
K-341	B	20	1800	120	St,L		46.74	2	1.4	0.12	0.0354	0.0087	0.0217	0.006	S	60	Litasov et al., 2007
K-342	B	20	1800	120	St,L		46.84	2	1.92	0.33	0.0609	0.016	0.0375	0.01	P	40	Litasov et al., 2007
K-323	C	25	1400	300	St,L		47.01	3	3.28	0.21	0.1711	0.055	0.106	0.033	P	30	Litasov et al., 2007
K-322	C	25	1800	60	St,L		47.09	4	3.63	0.26	0.129	0.042	0.074	0.024	P	30	Litasov et al., 2007
K-325	C	20	1400	300	St,Egg,L	47.21	1	4.36	0.12	0.301	0.03	0.184	0.018	S	150	Litasov et al., 2007
K-324	C	20	1800	60	St,L		47.64	1	6.07	0.05	0.238	0.02	0.1475	0.013	S	350	Litasov et al., 2007
K-359	D	20	1200	300	St,Egg,L	47.21	6	4.48	0.38	0.29	0.035	0.179	0.021	S	120	Litasov et al., 2007
K-355	D	20	1700	120	St,L		47.72	5	7.62	0.3	0.261	0.03	0.16	0.02	S	200	Litasov et al., 2007
K-343	E	20	1800	120	St,L		47.36	3	4.8	0.13	0.1007	0.028	0.0631	0.017	P	30	Litasov et al., 2007
K-285	E	20	1800	60	St,L		47.38	5	5.13	0.46	0.215	0.05	0.133	0.03	P	40	Litasov et al., 2007
A-745	FH	20	1600	60	St,L		46.46	2	0	0	0.0016	0.0003	0.0008	0.0002	S	400	Litasov et al., 2007
A-794	FH	24	1750	60	St,L		46.49	2	0	0	0.0031	0.0003	0.0017	0.0002	S	500	Litasov et al., 2007
A-810	GH	24	1500	90	St,MgPv,L	46.47	1	0	0	0.0038	0.0005	0.0021	0.0003	S	200	Litasov et al., 2007
K-161	I	26	1200	900	St,MgPv,L	46.93	5	2.1	0.3	0.0618	0.026	0.0373	0.017	S	60	Litasov et al., 2007
H4095a1	Z	26	1960	15	St		0	0	10.33	0.37	1.9931	0.27225746	0	0	0	0	This study
H4095a2	Z	26	1960	15	St		0	0	10.33	0.37	1.9906	0.27191596	0	0	0	0	This study
H4095b1	Z	26	1960	15	St		0	0	12.07	0.15	2.3407	0.31973962	0	0	0	0	This study
S6239a	Z	26	1900	5	St		0	0	10.14	0.18	2.3099	0.31553234	0	0	0	0	This study
S6239b	Z	26	1900	5	St		0	0	10.85	0.29	2.5456	0.34772896	0	0	0	0	This study
