% Expt. #	Phase	T K	T err	Si/(Si+Al)	-	+
S5021_1	Egg	1473	100	0.4874674565	0.482286657	0.492639492
S5021_2	d-AlOOH	1473	100	0.8233598233	0.7932313239	0.8537806779
S5021_2	Stv	1473	100	0.0180118681	0.0159745567	0.0200148285
S5021_2	Egg	1473	100	0.4948222056	0.491432083	0.4981766068
S4992_1	Egg	1733	100	0.5202946875	0.5122396175	0.5283314539
S4992_1	Stv	1733	100	0.0386666125	0.0345229205	0.0427920143
S4992_2	Egg	1733	100	0.500580713	0.4925376989	0.5086194495
S4992_2	Stv	1733	100	0.0398701327	0.0323488981	0.0473432992
S5050_1	D 	1873	100	0.7101556042	0.6976916154	0.722651369
S5050_2	Stv	1873	100	0.0744662757	0.0658550432	0.0830129749
S5050_2	D 	1873	100	0.5904861173	0.5820309471	0.5989708503
S5050_2	Egg	1873	100	0.5155846558	0.5144548453	0.5167081155
S5081	Stv	2003	100	0.1150451768	0.1038329662	0.1261744954
S5081	D 	2003	100	0.5930855194	0.590032059	0.5961282446
S5081	D 	2003	100	0.7242662299	0.71981498	0.7287207017
S5113	D 	2373	100	0.5887750535	0.5854011859	0.5921269231
S5113	D 	2373	100	0.5698868735	0.5598263303	0.579960438
S5113	iStv	2373	100	0.1913510519	0.1873340439	0.1953419838
S4517_1	D 	1733	100	0.6124815335	0.6018930691	0.6230470532
S4517_1	D 	1733	100	0.5094814174	0.5022937404	0.5166586769
S4517_2	d-AlOOH	1733	100	0.8308317026	0.8205562825	0.8411377948
S4517_2	D 	1733	100	0.7047165091	0.6915593066	0.7178845714
S4523_1	D 	1973	100	0.6982915613	0.6848346583	0.711770586
S4523_2	D 	1973	100	0.5880334219	0.5810758508	0.5950080308
S4523_2	Stv	1973	100	0.1259116742	0.1197119873	0.1320701551
S6239_l	D 	2173	100	0.5894630694	0.5868873053	0.5920390766
S6239_l	pStv	2173	100	0.1274112779	0.1240827095	0.1307357164
H4095_l	D 	2233	100	0.594652075	0.5927646031	0.5965338803
H4095_l	pStv	2233	100	0.141135504	0.1396873031	0.1425784037
S6239_u	pStv	2173	100	0.1198790387	0.1182873636	0.121455509
H4095_u	pStv	2233	100	0.1225033347	0.1186150874	0.1263564263
